"300 Let Rossiykomy","ru","Russian names from"
"SSV 535 Karelia","ru",
"Samara (K 267)","ru",
"Samum (MRK 17)","ru",
"Sapfir","ru",
"Sderzhanny","ru",
"Sergey Lazo","ru",
"Severodvinsk","ru",
"Severomorsk","ru",
"Shtyl","ru",
"Silny","ru",
"Simbirsk","ru",
"Simferopol","ru",
"Sivuch","ru",
"Skory","ru",
"Shkval","ru",
"Shturm","ru",
"Slava","ru",
"Smerch","ru",
"Smetlivy","ru",
"Smolensk (K 410)","ru",
"Smyshlenny","ru",
"Sobrazitelny","ru",
"Sovremenny","ru",
"Sposobny","ru",
"Smolensk (K 410)","ru",
"Storozhevoy","ru",
"Stoyky","ru",
"Svirepy","ru",
"T 75","ru",
"T 118","ru",
"TK 12","ru",
"TK 13","ru",
"TK 17","ru",
"TK 20","ru",
"TK 202","ru",
"TK 208 Dmitrij Donskoj","ru",
"TK 210","ru",
"Taifun","ru",
"Tambov (K 448)","ru",
"Tashkent","ru",
"Tigr (K 157)","ru",
"Tomsk","ru",
"Tsiklon","ru",
"Tucha","ru",
"Tuman","ru",
"Udaloy","ru",
"Ulyanovsk","ru",
"Uragan","ru",
"Varyag","ru",
"Varyag","ru",
"Varyag","ru",
"Vasiliy Chapayev","ru",
"Vazhny","ru",
"Vdumchivyy","ru",
"Vepr'","ru",
"Verkhotur'e (K 51)","ru",
"Veter","ru",
"Vikhr'","ru",
"Vilyuchinsk (K 456)","ru",
"Vitse-Admiral Drozhd","ru",
"Vitse-Admiral Kulakov","ru",
"Vladikavkaz (B 459)","ru",
"Vladivostok","ru",
"Volk (K 461)","ru",
"Voronezh (K 119)","ru",
"Voronezhsky Komsomolets","ru",
"Vorovsky","ru",
"Yastreb","ru",
"Yekaterinburg ","ru",
"Yuri Dolgoruky ","ru",
"Zadorny","ru",
"Zarnitsa ","ru",
"Zarya","ru",
"Zemlyansk","ru",
"Zharky","ru",
"Zhemchug","ru",
"Zubatka (K 534)","ru",
"Zyb'","ru",
